L I	L III	L II(Calc.)
-0.0408936	-0.0308228	-0.0717163
-0.0265503	-0.0421143	-0.0686646
-0.0164795	-0.0497437	-0.0662231
-0.0088501	-0.0546265	-0.0634766
-0.00305176	-0.0582886	-0.0613403
0.000305176	-0.0604248	-0.0601196
0.0012207	-0.0619507	-0.06073
-0.000610352	-0.0613403	-0.0619507
-0.00549316	-0.0598145	-0.0653076
-0.0119019	-0.0576782	-0.0695801
-0.0192261	-0.0543213	-0.0735474
-0.0280762	-0.0494385	-0.0775146
-0.0393677	-0.0436401	-0.0830078
-0.0476074	-0.0387573	-0.0863647
-0.0485229	-0.0350952	-0.0836182
-0.0448608	-0.032959	-0.0778198
-0.0411987	-0.0311279	-0.0723267
-0.0387573	-0.0299072	-0.0686646
-0.0350952	-0.0308228	-0.065918
-0.0299072	-0.032959	-0.0628662
-0.0247192	-0.0354004	-0.0601196
-0.0192261	-0.0378418	-0.0570679
-0.0143433	-0.0396729	-0.0540161
-0.0137329	-0.039978	-0.0537109
-0.0183105	-0.0390625	-0.057373
-0.0256348	-0.0369263	-0.062561
-0.0323486	-0.0350952	-0.0674438
-0.0357056	-0.0326538	-0.0683594
-0.0393677	-0.0286865	-0.0680542
-0.0457764	-0.0210571	-0.0668335
-0.0540161	-0.0112915	-0.0653076
-0.057373	-0.00671387	-0.0640869
-0.0567627	-0.00640869	-0.0631714
-0.0543213	-0.00732422	-0.0616455
-0.0494385	-0.0106812	-0.0601196
-0.0411987	-0.0167847	-0.0579834
-0.0326538	-0.0247192	-0.057373
-0.0247192	-0.0332642	-0.0579834
-0.0180054	-0.0418091	-0.0598145
-0.0146484	-0.0491333	-0.0637817
-0.0143433	-0.0549316	-0.0692749
-0.0152588	-0.0601196	-0.0753784
-0.0180054	-0.0613403	-0.0793457
-0.0253296	-0.0561523	-0.0814819
-0.032959	-0.0494385	-0.0823975
-0.0363159	-0.0448608	-0.0811768
-0.0372314	-0.0415039	-0.0787354
-0.0402832	-0.0354004	-0.0756836
-0.0476074	-0.0241089	-0.0717163
-0.0558472	-0.00976563	-0.0656128
-0.06073	0.00183105	-0.0588989
-0.057373	0.00427246	-0.0531006
-0.0509644	0.00152588	-0.0494385
-0.0466919	-0.000610352	-0.0473022
-0.0457764	-0.00183105	-0.0476074
-0.045166	-0.00457764	-0.0497437
-0.0418091	-0.0106812	-0.0524902
-0.03479	-0.0204468	-0.0552368
-0.027771	-0.0296021	-0.057373
-0.0231934	-0.0375366	-0.06073
-0.0213623	-0.0439453	-0.0653076
-0.0189209	-0.0485229	-0.0674438
-0.017395	-0.0497437	-0.0671387
