L I	L III	L II(Calc.)
0.0787354	-0.0524902	0.0262451
0.0817871	-0.0527954	0.0289917
0.083313	-0.0527954	0.0305176
0.0839233	-0.0524902	0.0314331
0.0866699	-0.0531006	0.0335693
0.0915527	-0.0552368	0.0363159
0.0973511	-0.057373	0.039978
0.101013	-0.0558472	0.045166
0.102539	-0.0537109	0.0488281
0.104065	-0.0527954	0.0512695
0.104065	-0.0506592	0.0534058
0.102234	-0.0463867	0.0558472
0.0985718	-0.0396729	0.0588989
0.0958252	-0.0326538	0.0631714
0.0952148	-0.0271606	0.0680542
0.0949097	-0.0231934	0.0717163
0.0964355	-0.022583	0.0738525
0.100098	-0.0247192	0.0753784
0.104675	-0.0274658	0.0772095
0.108643	-0.0292969	0.0793457
0.110168	-0.0299072	0.0802612
0.109863	-0.0299072	0.0799561
0.108643	-0.0296021	0.0790405
0.108337	-0.0296021	0.0787354
0.107727	-0.0283813	0.0793457
0.10376	-0.0253296	0.0784302
0.0964355	-0.0213623	0.0750732
0.0875854	-0.0167847	0.0708008
0.0784302	-0.0115967	0.0668335
0.0708008	-0.00762939	0.0631714
0.0653076	-0.00610352	0.0592041
0.0601196	-0.00610352	0.0540161
0.0512695	-0.00427246	0.0469971
0.0415039	-0.00244141	0.0390625
0.0311279	-0.0012207	0.0299072
0.0189209	0.000305176	0.0192261
0.00793457	0.000305176	0.00823975
-0.000610352	-0.000915527	-0.00152588
-0.00518799	-0.00366211	-0.0088501
-0.00732422	-0.00671387	-0.0140381
-0.00854492	-0.00976563	-0.0183105
-0.0100708	-0.012207	-0.0222778
-0.0128174	-0.0128174	-0.0256348
-0.0177002	-0.0106812	-0.0283813
-0.0228882	-0.00732422	-0.0302124
-0.0244141	-0.00732422	-0.0317383
-0.022583	-0.0109863	-0.0335693
-0.020752	-0.0146484	-0.0354004
-0.020752	-0.0180054	-0.0387573
-0.0213623	-0.0219727	-0.043335
-0.0210571	-0.0265503	-0.0476074
-0.0219727	-0.0302124	-0.0521851
-0.0228882	-0.0326538	-0.055542
-0.0244141	-0.0338745	-0.0582886
-0.027771	-0.0326538	-0.0604248
-0.0320435	-0.0299072	-0.0619507
-0.0357056	-0.0268555	-0.062561
